sample_id	block_id	block_span_bp	mean_depth	median_depth	breadth_depth_ge_1	breadth_depth_ge_5	breadth_depth_ge_10	read_content_supported	assembly_all_families_detected	assembly_syntenic_block_present	read_assembly_content_agreement	interpretation
mv13	MP_MIP_nitrogen_redox_associated_block	8085	74.04737167594311	0.0	0.3494124922696351	0.3468150896722325	0.3465677179962894	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv13	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv13	TMI_aromatic_catabolism_associated_block	22835	297.112239982483	299.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv13	TMI_methyltransferase_hydrolase_cupin_block	4491	291.1019817412603	294.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv17	MP_MIP_nitrogen_redox_associated_block	8085	121.9325912183055	0.0	0.4902906617192331	0.4843537414965986	0.4765615337043908	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv17	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv17	TMI_aromatic_catabolism_associated_block	22835	346.9219181081673	348.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv17	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv51	MP_MIP_nitrogen_redox_associated_block	8085	232.3927025355597	231.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv51	MP_MIP_oxidoreductase_associated_block	5601	246.504909837529	244.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv51	TMI_aromatic_catabolism_associated_block	22835	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv51	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv56	MP_MIP_nitrogen_redox_associated_block	8085	75.97674706246134	0.0	0.3564625850340136	0.3473098330241187	0.346691403834261	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv56	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv56	TMI_aromatic_catabolism_associated_block	22835	327.51307203853736	330.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv56	TMI_methyltransferase_hydrolase_cupin_block	4491	320.9650411934981	318.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv65	MP_MIP_nitrogen_redox_associated_block	8085	0.0708719851576994	0.0	0.0221397649969078	0.0004947433518862	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv65	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv65	TMI_aromatic_catabolism_associated_block	22835	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv65	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv67	MP_MIP_nitrogen_redox_associated_block	8085	0.1460729746444032	0.0	0.0222634508348794	0.0180581323438466	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv67	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv67	TMI_aromatic_catabolism_associated_block	22835	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv67	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv71	MP_MIP_nitrogen_redox_associated_block	8085	286.7097093382808	285.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv71	MP_MIP_oxidoreductase_associated_block	5601	306.37457596857706	308.0	1.0	1.0	1.0	True	True	True	True	read-content check only; short reads do not establish long-range synteny
mv71	TMI_aromatic_catabolism_associated_block	22835	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv71	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv8	MP_MIP_nitrogen_redox_associated_block	8085	88.67495361781076	0.0	0.4885590599876314	0.4869511440940012	0.4868274582560297	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv8	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv8	TMI_aromatic_catabolism_associated_block	22835	0.0067878257061528	0.0	0.0017079045325158	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv8	TMI_methyltransferase_hydrolase_cupin_block	4491	294.7670897350256	308.0	0.9855266087731016	0.9835226007570697	0.983077265642396	True	False	False	False	read-content check only; short reads do not establish long-range synteny
mv91	MP_MIP_nitrogen_redox_associated_block	8085	0.0928880643166357	0.0	0.0222634508348794	0.0055658627087198	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv91	MP_MIP_oxidoreductase_associated_block	5601	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv91	TMI_aromatic_catabolism_associated_block	22835	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
mv91	TMI_methyltransferase_hydrolase_cupin_block	4491	0.0	0.0	0.0	0.0	0.0	False	False	False	True	read-content check only; short reads do not establish long-range synteny
